#,Company,Symbol,Weight,??????Price,Chg,% Chg
151,Nike Inc Cl B,NKE,0.376441,105 ,-1.13,(-1.06%)
152,Honeywell International Inc,HON,0.368777,192 ,-2.73,(-1.40%)
153,Qualcomm Inc,QCOM,0.364343,114 ,-2.27,(-1.96%)
154,Lowe S Cos Inc,LOW,0.352887,203 ,-3.14,(-1.53%)
155,Intel Corp,INTC,0.351986,32 ,1.74,-5.79%
156,United Parcel Service Cl B,UPS,0.3515,167 ,-2.67,(-1.57%)
157,Conocophillips,COP,0.351378,99 ,-1.72,(-1.69%)
158,S&p Global Inc,SPGI,0.340266,368 ,3.23,-0.89%
159,Union Pacific Corp,UNP,0.337098,192 ,-2.38,(-1.23%)
160,Intl Business Machines Corp,IBM,0.332131,129 ,-0.19,(-0.14%)
161,Amgen Inc,AMGN,0.33105,220 ,1.93,-0.88%
162,Applied Materials Inc,AMAT,0.32665,134 ,-2.37,(-1.74%)
163,Boeing Co,BA,0.326561,206 ,1.16,-0.57%
164,Prologis Inc,PLD,0.325047,124 ,0.16,-0.13%
165,Intuit Inc,INTU,0.324166,416 ,10.4,-2.56%
166,Starbucks Corp,SBUX,0.318731,98 ,0.05,-0.05%
167,At&t Inc,T,0.316278,16 ,0.22,-1.40%
168,Servicenow Inc,NOW,0.316262,538 ,-11.4,(-2.07%)
169,General Electric Co,GE,0.315937,101 ,-1.53,(-1.49%)
170,Goldman Sachs Group Inc,GS,0.315445,335 ,4.05,-1.22%
171,Medtronic Plc,MDT,0.311331,82 ,-0.25,(-0.30%)
172,Caterpillar Inc,CAT,0.309899,206 ,-3.97,(-1.89%)
173,Morgan Stanley,MS,0.309201,82 ,-1.53,(-1.83%)
174,Intuitive Surgical Inc,ISRG,0.305265,309 ,1.43,-0.47%
175,Elevance Health Inc,ELV,0.299287,444 ,2.25,-0.51%
176,Lockheed Martin Corp,LMT,0.286807,446 ,-1.97,(-0.44%)
177,Blackrock Inc,BLK,0.286624,669 ,-4.6,(-0.68%)
178,Mondelez International Inc A,MDLZ,0.279969,73 ,0.9,-1.24%
179,Booking Holdings Inc,BKNG,0.277836,2483 ,-46.3,(-1.83%)
180,Gilead Sciences Inc,GILD,0.270042,77 ,0.51,-0.67%
181,Deere & Co,DE,0.268994,346 ,-4.27,(-1.22%)
182,American Express Co,AXP,0.266781,159 ,0.71,-0.45%
183,Stryker Corp,SYK,0.259694,265 ,-6.55,(-2.41%)
184,Analog Devices Inc,ADI,0.255141,175 ,-2.08,(-1.17%)
185,Tjx Companies Inc,TJX,0.251588,79 ,2.06,-2.68%
186,Automatic Data Processing,ADP,0.24701,213 ,2.97,-1.41%
187,Citigroup Inc,C,0.24523,44 ,-0.33,(-0.73%)
188,Marsh & Mclennan Cos,MMC,0.24489,177 ,3,-1.72%
189,Cvs Health Corp,CVS,0.244633,68 ,1.04,-1.54%
190,Lam Research Corp,LRCX,0.241123,616 ,-13.6,(-2.17%)
191,American Tower Corp,AMT,0.240032,184 ,2.46,-1.35%
192,Vertex Pharmaceuticals Inc,VRTX,0.237257,326 ,0.96,-0.29%
193,Schwab (Charles) Corp,SCHW,0.232989,53 ,-1.14,(-2.11%)
194,T Mobile Us Inc,TMUS,0.227059,138 ,2.87,-2.12%
195,Altria Group Inc,MO,0.224472,44 ,-0.03,(-0.07%)
196,Chubb Ltd,CB,0.223473,207 ,16.45,-8.65%
197,Regeneron Pharmaceuticals,REGN,0.222211,742 ,12.9,-1.77%
198,Micron Technology Inc,MU,0.221933,68 ,-3.47,(-4.85%)
199,Southern Co,SO,0.215327,70 ,0.17,-0.24%
200,Zoetis Inc,ZTS,0.212471,163 ,2.31,-1.44%
201,Progressive Corp,PGR,0.212242,134 ,5.88,-4.59%
202,The Cigna Group,CI,0.205605,246 ,2.89,-1.19%
203,Eaton Corp Plc,ETN,0.205138,177 ,-5.03,(-2.77%)
204,Boston Scientific Corp,BSX,0.204844,51 ,0.25,-0.50%
205,Fiserv Inc,FISV,0.203161,111 ,-2.28,(-2.02%)
206,Synopsys Inc,SNPS,0.201013,440 ,-24.6,(-5.28%)
207,Paypal Holdings Inc,PYPL,0.199166,62 ,0.03,-0.05%
208,Equinix Inc,EQIX,0.192521,760 ,25.45,-3.47%
209,Duke Energy Corp,DUK,0.191986,90 ,1.49,-1.69%
210,Becton Dickinson and Co,BDX,0.191874,260 ,21.61,-9.06%
211,Csx Corp,CSX,0.184433,31 ,0.08,-0.24%
212,Cadence Design Sys Inc,CDNS,0.18268,228 ,-6.41,(-2.73%)
213,Aon Plc Class A,AON,0.181678,304 ,-7.62,(-2.44%)
214,Cme Group Inc,CME,0.181574,178 ,-0.43,(-0.24%)
215,Eog Resources Inc,EOG,0.181026,105 ,-3.89,(-3.58%)
216,Kla Corp,KLAC,0.180186,457 ,-2.22,(-0.48%)
217,Northrop Grumman Corp,NOC,0.178831,436 ,-2.67,(-0.61%)
218,Schlumberger Ltd,SLB,0.178531,43 ,-0.89,(-2.00%)
219,Colgate Palmolive Co,CL,0.177598,75 ,0.52,-0.70%
220,Illinois Tool Works,ITW,0.175904,216 ,-6.98,(-3.12%)
221,Humana Inc,HUM,0.175507,502 ,6.88,-1.39%
222,Target Corp,TGT,0.174481,131 ,-3,(-2.24%)
223,Air Products & Chemicals Inc,APD,0.172186,272 ,-2.41,(-0.88%)
224,Waste Management Inc,WM,0.1708,164 ,1.41,-0.87%
225,Intercontinental Exchange In,ICE,0.165525,107 ,2.56,-2.45%
226,O Reilly Automotive Inc,ORLY,0.164508,894 ,-34.4,(-3.71%)
227,Chipotle Mexican Grill Inc,CMG,0.16216,2089 ,17.72,-0.86%
228,Activision Blizzard Inc,ATVI,0.161678,80 ,0.15,-0.18%
229,Hca Healthcare Inc,HCA,0.158644,264 ,0.07,-0.03%
230,Sherwin Williams Co,SHW,0.152812,243 ,14.06,-6.16%
231,3m Co W/d,MMM,0.150384,94 ,-2.5,(-2.60%)
232,Mckesson Corp,MCK,0.149108,360 ,-23.8,(-6.20%)
233,Fedex Corp,FDX,0.148966,218 ,-7.89,(-3.49%)
234,Edwards Lifesciences Corp,EW,0.142646,84 ,2.79,-3.43%
235,Ford Motor Co,F,0.140313,12 ,-0.58,(-4.60%)
236,Moody S Corp,MCO,0.13964,340 ,26.76,-8.53%
237,General Mills Inc,GIS,0.139261,86 ,2.46,-2.95%
238,Marathon Petroleum Corp,MPC,0.138826,105 ,-2.54,(-2.36%)
239,Freeport Mcmoran Inc,FCX,0.138802,35 ,0.58,-1.69%
240,Crown Castle Inc,CCI,0.137625,114 ,1.96,-1.74%
241,Pioneer Natural Resources Co,PXD,0.136747,199 ,-7,(-3.39%)
242,Norfolk Southern Corp,NSC,0.136488,208 ,-3.52,(-1.66%)
243,Pnc Financial Services Group,PNC,0.135758,117 ,-1.85,(-1.56%)
244,Roper Technologies Inc,ROP,0.135697,458 ,6.22,-1.38%
245,Motorola Solutions Inc,MSI,0.135226,237 ,-47.9,(-16.81%)
246,Nxp Semiconductors Nv,NXPI,0.13362,178 ,-4.12,(-2.26%)
247,General Motors Co,GM,0.131995,32 ,-0.94,(-2.80%)
248,General Dynamics Corp,GD,0.131032,204 ,-1.25,(-0.61%)
249,Autozone Inc,AZO,0.130601,2100 ,-355,(-14.44%)
250,Public Storage,PSA,0.129555,286 ,-2.55,(-0.88%)
251,Amphenol Corp Cl A,APH,0.129406,71 ,-5.54,(-7.22%)
252,Dollar General Corp,DG,0.129287,196 ,-7.84,(-3.85%)
253,Marriott International Cl A,MAR,0.128868,169 ,-0.41,(-0.24%)
254,Sempra Energy,SRE,0.128,144 ,-0.17,(-0.12%)
255,Kimberly Clark Corp,KMB,0.127896,140 ,6.08,-4.55%
